Concelho,lat,lon,time,thetao,heatspot_lat,heatspot_lon,geometry,nome_praia,min,max,min2,max2
Praia da Vitória,38.80326000000008,-27.257419999999968,2026-08-15T20:00:00Z,25.9327430725098,36.83334,-27.25,"c(-27.25742, 38.8032600000001)",Biscoitos (Praia da Vitória),22.745957973308247,24.29979798727118,21.969037966326784,25.076717994252643
Matosinhos,41.201730000000055,-8.713779999999929,2026-08-15T20:00:00Z,18.1920003890991,41.19444,-8.72222233,"c(-8.71377999999993, 41.2017300000001)",Boa Nova-Senhora (Matosinhos),16.347824197192118,19.712389209305208,14.665541691135571,21.394671715361753
Santa Cruz,32.683280000000025,-16.794559999999933,2026-08-15T20:00:00Z,23.9340006618295,32.66667,-16.77778,"c(-16.7945599999999, 32.68328)",Boaventura (Santa Cruz),23.00461762461801,24.1896307934762,22.41211104018892,24.782137377905293
Vila Nova de Gaia,41.03056000000004,-8.64638999999994,2026-08-15T20:00:00Z,19.3580004444811,41.02778,-8.63888931,"c(-8.64638999999994, 41.03056)",Boca Mar (Vila Nova de Gaia),16.236385740691738,19.53640811192401,14.5863745550756,21.186419297540148
Vila do Bispo,37.06639000000007,-8.808329999999955,2026-08-15T20:00:00Z,18.3780003979336,37.05556,-8.80555534,"c(-8.80832999999996, 37.0663900000001)",Boca do Rio (Vila do Bispo),15.845464581492342,19.799676966209674,13.868358389133675,21.776783158568342
Óbidos,39.42536700000005,-9.23518299999995,2026-08-15T20:00:00Z,18.5940004081931,39.41667,-9.25,"c(-9.23518299999995, 39.4253670000001)",Bom Sucesso (Óbidos),16.104369972995563,19.370188233270845,14.471460842857923,21.003097363408486
Aljezur,37.198510000000056,-8.904589999999928,2026-08-15T20:00:00Z,17.2830003459239,37.19444,-8.91666698,"c(-8.90458999999993, 37.1985100000001)",Bordeira (Aljezur),15.969403807984385,19.605559575464802,14.151325924244176,21.42363745920501
Figueira da Foz,40.16335900000007,-8.878901999999925,2026-08-15T20:00:00Z,18.1430003867717,40.16667,-8.88888931,"c(-8.87890199999993, 40.1633590000001)",Buarcos (Figueira da Foz),15.840720078731726,18.94298464644504,14.289587794875068,20.4941169303017
Vila do Bispo,37.071600000000046,-8.775209999999959,2026-08-15T20:00:00Z,18.3680003974587,37.05556,-8.77777767,"c(-8.77520999999996, 37.0716)",Burgau (Vila do Bispo),15.845464581492342,19.799676966209674,13.868358389133675,21.776783158568342
Almada,38.64476700000006,-9.241751999999963,2026-08-15T20:00:00Z,18.2690003927564,38.63889,-9.25,"c(-9.24175199999996, 38.6447670000001)",CDS (Almada),16.71644353949093,18.642005465858286,15.753662576307248,19.60478642904197
Almada,38.60882300000003,-9.215055999999947,2026-08-15T20:00:00Z,18.3640003972687,38.61111,-9.22222233,"c(-9.21505599999995, 38.608823)",Cabana do Pescador (Almada),16.412893281483946,18.354311442909122,15.44218420077136,19.32502052362171
Tavira,37.133440000000064,-7.5896699999999555,2026-08-15T20:00:00Z,21.8600005633198,37.13889,-7.58333349,"c(-7.58966999999996, 37.1334400000001)",Cabanas - Mar (Tavira),17.92548937336185,22.66097999524753,15.55774406241901,25.028725306190367
Tavira,37.12817000000007,-7.600189999999941,2026-08-15T20:00:00Z,21.8600005633198,37.13889,-7.58333349,"c(-7.60018999999994, 37.1281700000001)",Cabanas Poente (Tavira),17.92548937336185,22.66097999524753,15.55774406241901,25.028725306190367
Figueira da Foz,40.14374900000007,-8.86646799999994,2026-08-15T20:00:00Z,18.1430003867717,40.13889,-8.86111069,"c(-8.86646799999994, 40.1437490000001)",Cabedelinho (Figueira da Foz),15.840720078731726,18.94298464644504,14.289587794875068,20.4941169303017
Viana do Castelo,41.680000000000064,-8.83555999999993,2026-08-15T20:00:00Z,15.2370002487442,41.66667,-8.83333302,"c(-8.83555999999993, 41.6800000000001)",Cabedelo (Viana do Castelo),15.394708441741054,18.087085302058032,14.048520011582566,19.433273732216524
Figueira da Foz,40.13840800000003,-8.862754999999936,2026-08-15T20:00:00Z,18.1430003867717,40.13889,-8.86111069,"c(-8.86275499999994, 40.138408)",Cabedelo Norte - UB4-6 (Figueira da Foz),15.840720078731726,18.94298464644504,14.289587794875068,20.4941169303017
Figueira da Foz,40.134224000000074,-8.86271899999997,2026-08-15T20:00:00Z,18.1430003867717,40.13889,-8.86111069,"c(-8.86271899999997, 40.1342240000001)",Cabedelo Sul - UB10-12 (Figueira da Foz),15.840720078731726,18.94298464644504,14.289587794875068,20.4941169303017
Viana do Castelo,41.67795200000006,-8.831125999999927,2026-08-15T20:00:00Z,15.2370002487442,41.66667,-8.83333302,"c(-8.83112599999993, 41.6779520000001)",Cabedelo/Luziamar (Viana do Castelo),15.394708441741054,18.087085302058032,14.048520011582566,19.433273732216524
