nome_praia,geometry,Concelho,nome_praia_final
Castelo (Albufeira),"c(-8.29874999999993, 37.07327)",Albufeira,Castelo (Albufeira)
Vilamoura,"c(-8.11895999999996, 37.0718800000001)",Loulé,Vilamoura (Loulé)
Burgau,"c(-8.77520999999996, 37.0716)",Vila do Bispo,Burgau (Vila do Bispo)
Quarteira Poente,"c(-8.10419999999993, 37.0674000000001)",Loulé,Quarteira Poente (Loulé)
Boca do Rio,"c(-8.80832999999996, 37.0663900000001)",Vila do Bispo,Boca do Rio (Vila do Bispo)
Almádena - Cabanas Velhas,"c(-8.79487699999993, 37.0652170000001)",Vila do Bispo,Almádena - Cabanas Velhas (Vila do Bispo)
Quarteira Central,"c(-8.09859999999998, 37.0652000000001)",Loulé,Quarteira Central (Loulé)
Salema,"c(-8.82481999999993, 37.06476)",Vila do Bispo,Salema (Vila do Bispo)
Quarteira Nascente,"c(-8.09249999999997, 37.0629000000001)",Loulé,Quarteira Nascente (Loulé)
Forte Novo,"c(-8.09015999999997, 37.06203)",Loulé,Forte Novo (Loulé)
Almargem,"c(-8.08352999999994, 37.0583800000001)",Loulé,Almargem (Loulé)
Loulé Velho,"c(-8.07815999999997, 37.0555400000001)",Loulé,Loulé Velho (Loulé)
Furnas,"c(-8.85443999999995, 37.0550000000001)",Vila do Bispo,Furnas (Vila do Bispo)
Vale do Lobo,"c(-8.06475999999998, 37.0475900000001)",Loulé,Vale do Lobo (Loulé)
Ingrina,"c(-8.87902999999994, 37.04616)",Vila do Bispo,Ingrina (Vila do Bispo)
Zavial,"c(-8.87157999999994, 37.0461500000001)",Vila do Bispo,Zavial (Vila do Bispo)
Garrão - Poente,"c(-8.05712999999997, 37.04328)",Loulé,Garrão - Poente (Loulé)
Fuseta - Mar,"c(-7.74433999999997, 37.0422600000001)",Olhão,Fuseta - Mar (Olhão)
Barranco,"c(-8.89473399999997, 37.0420800000001)",Vila do Bispo,Barranco (Vila do Bispo)
Garrão - Nascente,"c(-8.05148999999994, 37.0399200000001)",Loulé,Garrão - Nascente (Loulé)
Ancão,"c(-8.03851999999995, 37.0321500000001)",Loulé,Ancão (Loulé)
Beliche,"c(-8.96410999999995, 37.02529)",Vila do Bispo,Beliche (Vila do Bispo)
Quinta do Lago,"c(-8.02579999999995, 37.025)",Loulé,Quinta do Lago (Loulé)
Martinhal,"c(-8.92466999999994, 37.01978)",Vila do Bispo,Martinhal (Vila do Bispo)
Armona - Mar,"c(-7.79383999999993, 37.01399)",Olhão,Armona - Mar (Olhão)
Faro - Mar Poente,"c(-7.99559999999997, 37.0079000000001)",Faro,Faro - Mar Poente (Faro)
Tonel,"c(-8.94839999999994, 37.00703)",Vila do Bispo,Tonel (Vila do Bispo)
Faro - Mar Central,"c(-7.99369999999993, 37.0069)",Faro,Faro - Mar Central (Faro)
Anjos,"c(-25.1573299999999, 37.0050400000001)",Vila do Porto,Anjos (Vila do Porto)
Mareta,"c(-8.93985999999995, 37.00503)",Vila do Bispo,Mareta (Vila do Bispo)
Faro - Mar Nascente,"c(-7.98629999999997, 37.0020000000001)",Faro,Faro - Mar Nascente (Faro)
São Lourenço,"c(-25.05407, 36.98803)",Vila do Porto,São Lourenço (Vila do Porto)
Culatra - Mar,"c(-7.83903999999995, 36.9854500000001)",Faro,Culatra - Mar (Faro)
Ilha do Farol - Mar Nascente,"c(-7.86139999999995, 36.9760000000001)",Faro,Ilha do Farol - Mar Nascente (Faro)
Ilha do Farol - Mar Poente,"c(-7.86359999999996, 36.9745)",Faro,Ilha do Farol - Mar Poente (Faro)
Deserta (Barreta),"c(-7.87270799999993, 36.964032)",Faro,Deserta - Barreta (Faro)
Formosa,"c(-25.098, 36.9510100000001)",Vila do Porto,Formosa (Vila do Porto)
Maia,"c(-25.01406, 36.93911)",Vila do Porto,Maia (Vila do Porto)
Porto Santo-Porto das Salemas,"c(-16.3491099999999, 33.0932)",Porto Santo,Porto das Salemas (Porto Santo)
Porto Santo-Penedo,"c(-16.3183299999999, 33.06222)",Porto Santo,Penedo (Porto Santo)
Porto Santo-Fontinha,"c(-16.33694, 33.05528)",Porto Santo,Fontinha (Porto Santo)
Porto Santo - Pedras Pretas,"c(-16.3403329999999, 33.0530800000001)",Porto Santo,Pedras Pretas (Porto Santo)
Porto Santo-Ribeiro Cochino,"c(-16.3447199999999, 33.0491700000001)",Porto Santo,Ribeiro Cochino (Porto Santo)
Porto Santo-Ribeiro Salgado,"c(-16.34917, 33.0450000000001)",Porto Santo,Ribeiro Salgado (Porto Santo)
Porto Santo-Cabeço da Ponta,"c(-16.3602799999999, 33.0352800000001)",Porto Santo,Cabeço da Ponta (Porto Santo)
Porto Santo-Lagoa,"c(-16.36675, 33.0302)",Porto Santo,Lagoa (Porto Santo)
Porto Santo-Calheta,"c(-16.3766699999999, 33.02444)",Porto Santo,Calheta (Porto Santo)
Porto Moniz,"c(-17.16993, 32.8679000000001)",Porto Moniz,Porto Moniz (Porto Moniz)
Ponta Delgada,"c(-16.9846699999999, 32.82807)",São Vicente,Ponta Delgada (São Vicente)
Laje,"c(-17.1141699999999, 32.82667)",Porto Moniz,Laje (Porto Moniz)
Clube Naval do Seixal,"c(-17.10252, 32.82313)",Porto Moniz,Clube Naval do Seixal (Porto Moniz)
Porto do Seixal,"c(-17.1027999999999, 32.8221600000001)",Porto Moniz,Porto do Seixal (Porto Moniz)
Clube Naval de São Vicente,"c(-17.0329899999999, 32.8131500000001)",São Vicente,Clube Naval de São Vicente (São Vicente)
Ribeira do Faial,"c(-16.84842, 32.7930000000001)",Santana,Ribeira do Faial (Santana)
Alagoa,"c(-16.82855, 32.7748300000001)",Machico,Alagoa (Machico)
Maiata,"c(-16.82109, 32.7677100000001)",Machico,Maiata (Machico)
Ribeira das Galinhas,"c(-17.23506, 32.7644100000001)",Calheta,Ribeira das Galinhas (Calheta)
Porto,"c(-17.2248, 32.7523)",Calheta,Porto (Calheta)
Prainha,"c(-16.71556, 32.7425000000001)",Machico,Prainha (Machico)
Quinta do Lorde,"c(-16.70942, 32.7416400000001)",Machico,Quinta do Lorde (Machico)
Ribeira do Natal,"c(-16.7449999999999, 32.7350000000001)",Machico,Ribeira do Natal (Machico)
Portinho,"c(-17.20872, 32.73479)",Calheta,Portinho (Calheta)
